Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,type_season,season_year
183,Dennis Schröder,PG,29,LAL,16,3,26.1,2.6,6.4,0.398,0.8,2.4,0.333,1.8,4.0,0.438,0.461,1.4,1.8,0.821,0.2,1.8,1.9,2.9,1.0,0.2,1.3,2.5,7.4,playoffs,2022-2023
195,Tristan Thompson,C,31,LAL,6,0,5.3,0.8,1.8,0.455,0.0,0.0,0.0,0.8,1.8,0.455,0.455,0.2,0.8,0.2,0.7,1.0,1.7,0.3,0.0,0.0,0.2,0.2,1.8,playoffs,2022-2023
200,Jarred Vanderbilt,PF,23,LAL,15,13,16.5,1.6,4.0,0.4,0.5,1.9,0.241,1.1,2.1,0.548,0.458,0.9,1.3,0.7,1.3,1.9,3.2,0.8,0.7,0.8,0.9,2.1,4.6,playoffs,2022-2023
204,Lonnie Walker IV,SG,24,LAL,13,0,13.8,2.2,4.6,0.483,1.0,2.6,0.382,1.2,2.0,0.615,0.592,0.7,0.9,0.75,0.1,0.8,0.9,0.8,0.5,0.1,0.3,1.2,6.2,playoffs,2022-2023
91,Colin Castleton,C,23,LAL,16,0,3.7,0.6,1.0,0.563,0.0,0.0,0.0,0.6,1.0,0.563,0.563,0.4,0.4,1.0,0.4,0.4,0.8,0.2,0.1,0.0,0.2,0.7,1.5,regular,2023-2024
95,Max Christie,SG,20,LAL,67,7,14.1,1.5,3.6,0.427,0.6,1.8,0.356,0.9,1.8,0.496,0.515,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2,regular,2023-2024
116,Anthony Davis,C,30,LAL,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,regular,2023-2024
126,Spencer Dinwiddie,PG,30,LAL,28,4,24.2,2.0,5.0,0.397,1.3,3.2,0.389,0.8,1.8,0.412,0.521,1.6,1.8,0.88,0.1,1.5,1.7,2.4,0.5,0.5,1.0,1.9,6.8,regular,2023-2024
157,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,regular,2023-2024
171,Harry Giles,C,25,LAL,7,0,2.7,0.1,0.9,0.167,0.0,0.4,0.0,0.1,0.4,0.333,0.167,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.1,0.0,0.0,0.0,0.3,regular,2023-2024
