game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22000772,0,1610612747,LAL,Los Angeles,34,15,10,34,2,1,1.0,22.0,10.0,21.0,1610612761,TOR,Toronto,52,23,12,2,0.0,12.0,8.0,11.0
22000784,0,1610612748,MIA,Miami,36,4,13,11,2,7,1.0,21.0,6.0,25.0,1610612747,LAL,Los Angeles,34,11,6,4,0.0,22.0,8.0,33.0
22000800,0,1610612747,LAL,Los Angeles,48,20,12,28,2,3,1.0,15.0,8.0,13.0,1610612751,BKN,Brooklyn,60,12,16,4,0.0,19.0,5.0,25.0
22000815,0,1610612747,LAL,Los Angeles,38,10,11,4,9,7,1.0,25.0,14.0,29.0,1610612752,NYK,New York,54,20,4,17,0.0,15.0,7.0,18.0
22000825,0,1610612766,CHA,Charlotte,50,18,11,9,8,3,2.0,18.0,11.0,26.0,1610612747,LAL,Los Angeles,32,9,2,11,0.0,11.0,8.0,20.0
22000842,0,1610612738,BOS,Boston,56,11,10,27,0,0,0.0,21.0,8.0,26.0,1610612747,LAL,Los Angeles,50,11,7,0,0.0,8.0,7.0,9.0
22000855,0,1610612762,UTA,Utah,38,7,2,5,25,11,1.0,16.0,12.0,12.0,1610612747,LAL,Los Angeles,64,13,9,14,1.0,15.0,6.0,11.0
22000875,0,1610612747,LAL,Los Angeles,36,11,13,0,0,0,0.0,10.0,9.0,15.0,1610612762,UTA,Utah,52,0,17,25,0.0,17.0,3.0,15.0
22000897,0,1610612747,LAL,Los Angeles,52,22,13,8,8,5,0.0,16.0,6.0,17.0,1610612742,DAL,Dallas,56,12,13,13,0.0,12.0,13.0,11.0
22000908,0,1610612742,DAL,Dallas,44,13,2,15,3,5,2.0,18.0,5.0,19.0,1610612747,LAL,Los Angeles,34,11,11,17,0.0,9.0,11.0,17.0
22000935,0,1610612764,WAS,Washington,62,8,15,19,3,5,1.0,14.0,11.0,9.0,1610612747,LAL,Los Angeles,54,9,8,6,0.0,10.0,8.0,9.0
22000956,0,1610612758,SAC,Sacramento,44,14,19,15,9,6,0.0,17.0,8.0,20.0,1610612747,LAL,Los Angeles,66,18,12,11,0.0,21.0,8.0,24.0
22000982,0,1610612743,DEN,Denver,48,6,11,6,11,5,1.0,13.0,7.0,14.0,1610612747,LAL,Los Angeles,34,14,7,14,0.0,20.0,8.0,20.0
22001002,0,1610612746,LAC,LA,48,13,16,25,1,1,0.0,22.0,10.0,30.0,1610612747,LAL,Los Angeles,38,11,11,2,1.0,11.0,12.0,18.0
22001010,0,1610612757,POR,Portland,40,6,7,14,6,2,1.0,9.0,8.0,12.0,1610612747,LAL,Los Angeles,38,16,19,3,0.0,14.0,9.0,17.0
22001024,0,1610612756,PHX,Phoenix,50,7,13,0,0,0,0.0,15.0,6.0,15.0,1610612747,LAL,Los Angeles,44,17,2,23,1.0,14.0,9.0,8.0
22001061,0,1610612754,IND,Indiana,60,9,28,2,4,1,0.0,13.0,6.0,16.0,1610612747,LAL,Los Angeles,50,15,19,14,0.0,13.0,12.0,17.0
22001072,0,1610612747,LAL,Los Angeles,62,7,12,15,0,0,1.0,10.0,10.0,9.0,1610612740,NOP,New Orleans,54,12,15,0,0.0,21.0,5.0,23.0
12000004,0,1610612746,LAC,LA,28,8,13,8,14,7,2.0,27.0,12.0,31.0,1610612747,LAL,Los Angeles,34,15,8,6,1.0,18.0,6.0,20.0
